ano,distrito,extensao_km
2007,Aveiro,477
2007,Beja,914
2007,Braga,828
2007,Bragança,661
2007,Castelo Branco,627
2007,Coimbra,627
2007,Faro,751
2007,Guarda,673
2007,Leiria,611
2007,Lisboa,796
2007,Portalegre,672
2007,Porto,756
2007,Santarém,795
2007,Setúbal,871
2007,Viana do Castelo,457
2007,Vila Real,607
2007,Viseu,853
2007,Évora,926
2008,Aveiro,477
2008,Beja,914
2008,Braga,829
2008,Bragança,662
2008,Castelo Branco,627
2008,Coimbra,690
2008,Faro,751
2008,Guarda,673
2008,Leiria,611
2008,Lisboa,796
2008,Portalegre,688
2008,Porto,756
2008,Santarém,804
2008,Setúbal,871
2008,Viana do Castelo,457
2008,Vila Real,606
2008,Viseu,853
2008,Évora,926
2009,Aveiro,491
2009,Beja,914
2009,Braga,834
2009,Bragança,664
2009,Castelo Branco,627
2009,Coimbra,722
2009,Faro,751
2009,Guarda,676
2009,Leiria,611
2009,Lisboa,815
2009,Portalegre,704
2009,Porto,756
2009,Santarém,810
2009,Setúbal,874
2009,Viana do Castelo,458
2009,Vila Real,606
2009,Viseu,864
2009,Évora,936
2010,Aveiro,489
2010,Beja,914
2010,Braga,829
2010,Bragança,663
2010,Castelo Branco,641
2010,Coimbra,715
2010,Faro,752
2010,Guarda,696
2010,Leiria,610
2010,Lisboa,816
2010,Portalegre,702
2010,Porto,756
2010,Santarém,808
2010,Setúbal,874
2010,Viana do Castelo,457
2010,Vila Real,613
2010,Viseu,863
2010,Évora,926
2011,Aveiro,517
2011,Beja,914
2011,Braga,830
2011,Bragança,782
2011,Castelo Branco,641
2011,Coimbra,715
2011,Faro,752
2011,Guarda,743
2011,Leiria,634
2011,Lisboa,819
2011,Portalegre,702
2011,Porto,801
2011,Santarém,808
2011,Setúbal,880
2011,Viana do Castelo,463
2011,Vila Real,621
2011,Viseu,863
2011,Évora,926
2012,Aveiro,611
2012,Beja,971
2012,Braga,877
2012,Bragança,836
2012,Castelo Branco,709
2012,Coimbra,749
2012,Faro,803
2012,Guarda,791
2012,Leiria,668
2012,Lisboa,843
2012,Portalegre,711
2012,Porto,896
2012,Santarém,888
2012,Setúbal,966
2012,Viana do Castelo,460
2012,Vila Real,675
2012,Viseu,905
2012,Évora,926
2013,Aveiro,611
2013,Beja,971
2013,Braga,877
2013,Bragança,836
2013,Castelo Branco,709
2013,Coimbra,752
2013,Faro,803
2013,Guarda,791
2013,Leiria,686
2013,Lisboa,843
2013,Portalegre,711
2013,Porto,896
2013,Santarém,896
2013,Setúbal,966
2013,Viana do Castelo,460
2013,Vila Real,672
2013,Viseu,905
2013,Évora,926
2014,Aveiro,611
2014,Beja,971
2014,Braga,877
2014,Bragança,836
2014,Castelo Branco,709
2014,Coimbra,752
2014,Faro,803
2014,Guarda,791
2014,Leiria,686
2014,Lisboa,843
2014,Portalegre,711
2014,Porto,896
2014,Santarém,896
2014,Setúbal,966
2014,Viana do Castelo,460
2014,Vila Real,672
2014,Viseu,905
2014,Évora,926
2015,Aveiro,611
2015,Beja,971
2015,Braga,877
2015,Bragança,836
2015,Castelo Branco,709
2015,Coimbra,752
2015,Faro,803
2015,Guarda,791
2015,Leiria,686
2015,Lisboa,843
2015,Portalegre,711
2015,Porto,896
2015,Santarém,896
2015,Setúbal,966
2015,Viana do Castelo,460
2015,Vila Real,672
2015,Viseu,905
2015,Évora,926
2016,Aveiro,611
2016,Beja,971
2016,Braga,877
2016,Bragança,836
2016,Castelo Branco,709
2016,Coimbra,752
2016,Faro,806
2016,Guarda,791
2016,Leiria,686
2016,Lisboa,843
2016,Portalegre,711
2016,Porto,896
2016,Santarém,896
2016,Setúbal,966
2016,Viana do Castelo,460
2016,Vila Real,672
2016,Viseu,905
2016,Évora,926
2017,Aveiro,611
2017,Beja,971
2017,Braga,877
2017,Bragança,836
2017,Castelo Branco,709
2017,Coimbra,752
2017,Faro,806
2017,Guarda,791
2017,Leiria,686
2017,Lisboa,843
2017,Portalegre,711
2017,Porto,896
2017,Santarém,896
2017,Setúbal,966
2017,Viana do Castelo,460
2017,Vila Real,672
2017,Viseu,905
2017,Évora,926
2018,Aveiro,611
2018,Beja,971
2018,Braga,877
2018,Bragança,836
2018,Castelo Branco,709
2018,Coimbra,752
2018,Faro,806
2018,Guarda,791
2018,Leiria,686
2018,Lisboa,843
2018,Portalegre,711
2018,Porto,896
2018,Santarém,896
2018,Setúbal,966
2018,Viana do Castelo,460
2018,Vila Real,672
2018,Viseu,905
2018,Évora,926
2019,Aveiro,611
2019,Beja,971
2019,Braga,877
2019,Bragança,836
2019,Castelo Branco,709
2019,Coimbra,752
2019,Faro,806
2019,Guarda,791
2019,Leiria,686
2019,Lisboa,843
2019,Portalegre,711
2019,Porto,896
2019,Santarém,896
2019,Setúbal,966
2019,Viana do Castelo,460
2019,Vila Real,672
2019,Viseu,905
2019,Évora,926
2020,Aveiro,611
2020,Beja,971
2020,Braga,877
2020,Bragança,836
2020,Castelo Branco,709
2020,Coimbra,752
2020,Faro,806
2020,Guarda,791
2020,Leiria,686
2020,Lisboa,843
2020,Portalegre,711
2020,Porto,896
2020,Santarém,896
2020,Setúbal,978
2020,Viana do Castelo,460
2020,Vila Real,672
2020,Viseu,905
2020,Évora,926
2021,Aveiro,611
2021,Beja,971
2021,Braga,877
2021,Bragança,836
2021,Castelo Branco,709
2021,Coimbra,752
2021,Faro,806
2021,Guarda,791
2021,Leiria,686
2021,Lisboa,843
2021,Portalegre,711
2021,Porto,896
2021,Santarém,896
2021,Setúbal,978
2021,Viana do Castelo,460
2021,Vila Real,672
2021,Viseu,905
2021,Évora,926
2022,Aveiro,618
2022,Beja,971
2022,Braga,877
2022,Bragança,836
2022,Castelo Branco,709
2022,Coimbra,752
2022,Faro,806
2022,Guarda,791
2022,Leiria,686
2022,Lisboa,843
2022,Portalegre,711
2022,Porto,896
2022,Santarém,896
2022,Setúbal,978
2022,Viana do Castelo,460
2022,Vila Real,672
2022,Viseu,905
2022,Évora,926
2023,Aveiro,618
2023,Beja,971
2023,Braga,884
2023,Bragança,836
2023,Castelo Branco,709
2023,Coimbra,752
2023,Faro,806
2023,Guarda,791
2023,Leiria,686
2023,Lisboa,843
2023,Portalegre,711
2023,Porto,896
2023,Santarém,896
2023,Setúbal,978
2023,Viana do Castelo,460
2023,Vila Real,672
2023,Viseu,905
2023,Évora,926
2024,Aveiro,618
2024,Beja,971
2024,Braga,884
2024,Bragança,836
2024,Castelo Branco,709
2024,Coimbra,752
2024,Faro,806
2024,Guarda,791
2024,Leiria,686
2024,Lisboa,843
2024,Portalegre,711
2024,Porto,899
2024,Santarém,896
2024,Setúbal,978
2024,Viana do Castelo,460
2024,Vila Real,672
2024,Viseu,905
2024,Évora,926
